결정례일련번호,구분,문장번호,내용
16974,전문,1,사      건      2011헌마483  입법부작위 위헌확인
16974,전문,2,청  구  인      김 ○ 형
16974,전문,3,주      문
16974,전문,4,이 사건 심판청구를 각하한다.
16974,전문,5,이      유
16974,전문,6,1.사건의 개요 및 심판의 대상
16974,전문,7,"청구인은 이른바 ‘과민성 대장 증후군’을 가진 자로서 그로 인한 악취 등으로 사회생활에 어려움을 겪는다고 호소하면서 자신을 장애인으로 등록하여 줄 것을 보건복지부에 문의하였으나 관계법령상 불가하다는 답변을 받자, 장애인으로 보호받을 수 있는 장애의 종류를 제한적으로 정하고 있는 장애인복지법시행령 제2조 제1항 별표 1(이하 ‘이 사건 심판대상조항’이라 한다)이 자신의 인간다운 생활을 할 기본권 등을 침해한다고 주장하면서 2011.8.23."
16974,전문,8,이 사건 헌법소원심판을 청구하였다.
16974,전문,9,2.판단
16974,전문,10,"헌법재판소법 제69조 제1항의 규정에 의하면, 제68조 제1항의 규정에 의한 헌법소원의 심판은 그 사유가 있음을 안 날부터 90일 이내에, 그 사유가 있은 날부터 1년 이내에 청구하여야 한다.한편, 법령에 대한 헌법소원의 경우 법령의 시행과 동시에 법령 자체로 인하여 기본권을 침해받은 경우에는 그 법령이 시행된 사실을 안 날부터 90일 이내에, 그 법령이 시행된 날부터 1년 이내에, 그리고 법령이 시행된 후에 비로소 그 법령에 해당하는 사유가 발생하여 기본권의 침해를 받게 된 경우에는 그 사유가 발생하였음을 안 날부터 90일 이내에, 그 사유가 발생한 날부터 1년 이내에 법령에 대하여 직접 헌법소원심판을 청구하여야 한다.청구인은 약 2, 3년 전부터 ‘과민성 대장 증후군’을 본격적으로 앓게 되었다고 진술하고 있으므로, 설령 청구인의 주장과 같이 위 질환을 신체장애의 일종으로 인정하더라도 이 사건 심판대상조항이 시행될 당시 청구인은 이미 신체장애자의 지위에 있었고, 따라서 그 기본권침해는 위 조항의 시행과 동시에 이루어졌다고 보아야 하므로 청구인은 늦어도 그 시행일로부터 1년 이내에 헌법소원을 제기하였어야 한다.그런데 이 사건 헌법소원은 심판대상조항의 시행일인 2010.7.12.부터 1년이 경과하였음이 역수상 명백한 2011.8.23."
16974,전문,11,접수되었으므로 헌법재판소법 제72조 제3항 제2호를 적용하여 각하되어야 할 것이다.
16974,전문,12,3.결론
16974,전문,13,그렇다면 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제2호에 따라 이를 각하하기로 하여 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다.
16974,전문,14,2011.9.27.
